Train Latitude,Valid Latitude,Obs,Features
0.5308,0.5383,Standard,101350
0.5313,0.5397,strip_accents,98616
0.5308,0.5383,max_df = 0.9,101350
0.5308,0.5383,max_df = 0.8,101350
0.5308,0.5383,max_df = 0.7,101350
0.5297,0.5408,Norm = l1,101350
0.5304,0.5412,"Ngram = (1, 2), word",732242
0.5303,0.5441,"Ngram = (1, 3), word",1566898
0.5535,0.5754,"Ngram = (1, 2), char",2413
0.5521,0.5776,"Ngram = (1, 2), char_wb",2416
0.5126,0.5352,"Ngram = (1, 3), char",23093
0.5111,0.5323,"Ngram = (1, 3), char_wb",21066
0.4969,0.5207,"Ngram = (1, 5), char",596709
0.4951,0.5183,"Ngram = (1, 5), char_wb",310388
0.5053,0.5268,"Ngram = (3, 7), char",3559635
0.5036,0.5246,"Ngram = (3, 7), char_wb",881307
0.5041,0.5249,"Ngram = (3, 5), char_wb",307972
0.4944,0.5166,"Ngram = (1, 7), char_wb",883723
